categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/12/2021;22:16:04;15;VILLA ORTUZAR;;1752;-34.5806191305442;-58.4666081857035;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/12/2021;23:41:23;13;BELGRANO;;1620;-34.551357026198;-58.454533934285095;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/12/2021;19:19:59;14;PALERMO;;2553;-34.5848918819575;-58.4154426970309;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;00:09:05;3;SAN CRISTOBAL;;2998;-34.6208885537952;-58.4074344974854;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;17:56:33;5;ALMAGRO;;4231;-34.6110472208372;-58.426431099500896;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;20:11:21;11;VILLA DEL PARQUE;;2992;-34.5999361990857;-58.4863256032679;GCS Web;Masculino;Cerrado;20/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;17:20:28;6;CABALLITO;;172;-34.617257552046496;-58.438526923891104;App BA 147;Femenino;Cerrado;18/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;09:44:50;15;PATERNAL;;2015;-34.6031591834898;-58.4627897733336;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;09:09:50;3;BALVANERA;;2135;-34.6183258331735;-58.3966111188885;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;01:03:46;3;BALVANERA;;2100;-34.599807217297695;-58.3970480281818;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;01:07:53;14;PALERMO;;2041;-34.566581268868;-58.4450560763012;App BA 147;Masculino;Cerrado;20/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;17:14:58;6;CABALLITO;;172;-34.617257552046496;-58.438526923891104;App BA 147;Femenino;Cerrado;18/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;01:44:59;7;FLORES;;34;-34.6295438833562;-58.467157942982595;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;06:01:02;1;SAN TELMO;;338;-34.6159843092979;-58.3709166577894;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;15:10:35;1;SAN TELMO;;630;-34.6185702794308;-58.37481669678329;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;23:47:44;14;PALERMO;;840;-34.566254710232805;-58.4345237118968;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;21:45:56;1;SAN TELMO;;1095;-34.620532186863606;-58.3700457442277;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;23:14:52;14;PALERMO;;4350;-34.569433494925;-58.426981901882;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;20:57:21;14;PALERMO;;1436;-34.5856222096068;-58.440031753663796;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;18/12/2021;19:00:15;15;CHACARITA;;4089;-34.5896360284503;-58.4493307396418;App BA 147;Femenino;Cerrado;20/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;13:18:25;14;PALERMO;;1724;-34.5682410220011;-58.4339672788746;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;08:23:22;1;SAN TELMO;;425;-34.6184528918799;-58.37190440204021;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;03:00:21;7;PARQUE CHACABUCO;;386;-34.627821010183;-58.431965846813895;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;11:00:55;9;PARQUE AVELLANEDA;;933;-34.641265110220004;-58.473183778639495;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;09:15:59;1;SAN TELMO;;338;-34.6159843092979;-58.3709166577894;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;03:41:14;5;ALMAGRO;;3702;-34.599972674267896;-58.41784884399161;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;21:53:53;7;FLORES;;3065;-34.6327620441254;-58.471383188106095;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;17:26:54;6;CABALLITO;;5063;-34.6185843049267;-58.437305844459104;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;08:36:45;1;SAN TELMO;;818;-34.6177353308592;-58.377309927511796;GCS Web;Masculino;Cerrado;20/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;09:07:07;1;SAN TELMO;;338;-34.6159843092979;-58.3709166577894;App BA 147;Masculino;Cerrado;20/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;11:23:19;11;VILLA DEL PARQUE;;2733;-34.6057757576525;-58.4831782782535;GCS Web;Femenino;Cerrado;20/12/2021;00:00:00
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;21:24:18;14;PALERMO;;2257;-34.570426155612004;-58.4405902605552;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;17:38:22;3;BALVANERA;;3026;-34.6114934760988;-58.4091657079135;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;22:57:50;14;PALERMO;;4445;-34.5851417812419;-58.42353181310679;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;19/12/2021;15:41:15;9;LINIERS;;6450;-34.6476018506845;-58.515963920592;GCS Web;Femenino;Abierto;;
