,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
5006,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,01:32:46,14,PALERMO,,5635.0,-34.586455378627804,-58.4395809915544,App BA 147,Masculino,Abierto,,
5007,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",DERRAME DE LÍQUIDOS PELIGROSOS / INDUSTRIALES,Denuncia,2021-12-22,09:46:45,10,FLORESTA,,4050.0,-34.630020583013504,-58.4854470111542,GCS Web,Femenino,Cerrado,22/12/2021,00:00:00
5008,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,20:04:58,3,SAN CRISTOBAL,,885.0,-34.6200087884995,-58.404892649496205,GCS Web,Masculino,Abierto,,
5009,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,22:39:44,12,SAAVEDRA,,2525.0,-34.546388709995604,-58.47148023661121,App BA 147,Femenino,Cerrado,23/12/2021,00:00:00
5010,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,22:02:57,6,CABALLITO,,134.0,-34.6197511592285,-58.430281622177,GCS Web,Masculino,Abierto,,
5011,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,18:27:33,15,VILLA ORTUZAR,,1059.0,-34.5843135800041,-58.4694808497048,App BA 147,Femenino,Abierto,,
5012,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,10:45:07,14,PALERMO,,3135.0,-34.576630374804694,-58.4136449652135,GCS Web,Femenino,Abierto,,
5013,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,18:52:58,5,ALMAGRO,,3701.0,-34.6062067549369,-58.419437630139896,GCS Web,Femenino,Cerrado,23/12/2021,00:00:00
5014,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-12-22,12:42:02,12,VILLA URQUIZA,,5015.0,-34.5715485637745,-58.4875300202612,GCS Web,Masculino,Abierto,,
5015,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,16:57:37,4,BOCA,,326.0,-34.644592596342,-58.3640024190984,App BA 147,Masculino,Abierto,,
