,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
3077,RECICLADO Y PROTECCIÓN AMBIENTAL,CONTROL AMBIENTAL,CONSULTA TÉCNICA SOBRE TRAMITES DE INSCRIPCIÓN EN EL REGISTRO DE ACTIVIDADES CATALOGADAS COMO POTENCIALMENTE CONTAMINANTES POR RUIDOS Y VIBRACIONES (RAC),Solicitud,2021-08-20,19:34:58,13,COLEGIALES,CABILDO AV.,592.0,-34.5710743520887,-58.4428990759209,GCS Web,Masculino,Cerrado,24/08/2021,00:00:00
3078,RECICLADO Y PROTECCIÓN AMBIENTAL,CONTROL AMBIENTAL,CONSULTA TÉCNICA SOBRE TRAMITES DE INSCRIPCIÓN EN EL REGISTRO DE ACTIVIDADES CATALOGADAS COMO POTENCIALMENTE CONTAMINANTES POR RUIDOS Y VIBRACIONES (RAC),Solicitud,2021-08-20,12:13:49,1,CONSTITUCION,LIMA,1111.0,-34.6211467612605,-58.3815206086955,GCS Web,Masculino,Cerrado,20/08/2021,00:00:00
3079,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-08-20,14:15:12,15,AGRONOMIA,ASUNCION,2119.0,-34.5864283243309,-58.4878486331092,GCS Web,Femenino,Cerrado,23/08/2021,00:00:00
3080,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",DERRAME DE LÍQUIDOS PELIGROSOS / INDUSTRIALES,Denuncia,2021-08-20,16:02:43,11,VILLA GRAL. MITRE,SANCHEZ,1808.0,-34.6074705603756,-58.4653348320956,GCS Web,Masculino,Cerrado,30/08/2021,00:00:00
3081,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,10:52:08,9,PARQUE AVELLANEDA,MONTE,4266.0,-34.6502334569449,-58.4756050842253,App BA 147,Femenino,Cerrado,24/08/2021,00:00:00
3082,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,11:53:17,4,BOCA,ARZOBISPO ESPINOSA,1133.0,-34.6334589054405,-58.369133818075,GCS Web,Masculino,Cerrado,20/08/2021,00:00:00
3083,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,19:49:14,14,PALERMO,ARMENIA,,-34.5887140589755,-58.4262039168433,GCS Web,Femenino,Cerrado,23/08/2021,00:00:00
3084,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-20,16:10:31,14,PALERMO,ARMENIA,,-34.5887140589755,-58.4262039168433,GCS Web,Masculino,Cerrado,23/08/2021,00:00:00
3085,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-21,18:24:04,14,PALERMO,"DUMONT, SANTOS",2355.0,-34.572969254475,-58.4381284867808,GCS Web,Femenino,Abierto,,
3086,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-21,12:18:38,1,SAN NICOLAS,"PERON, JUAN DOMINGO, TTE. GENERAL",1269.0,-34.6062856280515,-58.3846144374525,GCS Web,Femenino,Abierto,,
